PLACE,indicator,Strongly_D,Moderate,Agree,Strongly_A,Total,pct_agree,lat,lon
Kampung Melayu Batu Skudai,Financially Support Smart City,5,6,6,2,26,30.8,1.5375311775221678,103.66057884175193
Kampung Teluk Serdang,Financially Support Smart City,0,0,1,0,1,100.0,1.497540820206339,103.6842046362624
Kampung Pasir,Financially Support Smart City,0,1,1,0,2,50.0,1.4945853313486772,103.6885092299382
Kampung Pasir Tampoi,Financially Support Smart City,0,0,1,0,1,100.0,1.489528976711252,103.69234611081013
Kampung Sungai Melayu,Financially Support Smart City,0,0,0,1,1,100.0,1.4727686482514186,103.69618299168198
Kota Iskandar,Financially Support Smart City,1,3,11,2,20,65.0,1.4217283625881747,103.65186469287806
Medini,Financially Support Smart City,0,0,2,0,2,100.0,1.4081059483297786,103.62848648849575
Kampung Bukit Kucing,Financially Support Smart City,0,1,1,0,2,50.0,1.390854856037487,103.60100371387837
Kampung Ladang,Financially Support Smart City,7,3,19,14,49,67.3,1.3664653807276952,103.62039632107592
Kampung Pendas,Financially Support Smart City,1,0,4,0,5,80.0,1.369439706984987,103.62753470409342
Kampung Pok Besar,Financially Support Smart City,0,0,2,2,4,100.0,1.361944404816612,103.58708386699425
Kampung Pok Kecil,Financially Support Smart City,0,0,1,0,1,100.0,1.361230566514862,103.5806593222785
Kampung Pok,Financially Support Smart City,3,2,1,1,7,28.6,1.3539732104470705,103.5778039690715
Kampung Tanjong Adang,Financially Support Smart City,0,1,1,2,5,60.0,1.35376500760906,103.567810232847
Kampung Pekajang,Financially Support Smart City,2,8,19,18,55,67.3,1.3582264969949973,103.5627538782096
Kampung Tiram Duku,Financially Support Smart City,1,0,1,1,3,66.7,1.3850020006229986,103.5802827126119
Kampung Simpang Arang,Financially Support Smart City,0,1,2,1,4,75.0,1.411161406593094,103.56791179966416
Kampung Lalang,Financially Support Smart City,0,1,0,0,1,0.0,1.4439454220430472,103.61894975107613
Kampung Baru Muafakat,Financially Support Smart City,0,1,0,0,1,0.0,1.4422322101188472,103.59567862243908
Gelang Patah,Financially Support Smart City,0,1,0,1,3,33.3,1.448085684193197,103.59525031945803
Kampung Melayu,Financially Support Smart City,3,7,28,9,50,74.0,1.449299209306172,103.58161600789461
Kampung Pulai Mutiara,Financially Support Smart City,0,0,1,0,1,100.0,1.4562234408331467,103.56898106995364
Kampung Melayu Baru,Financially Support Smart City,1,4,9,6,24,62.5,1.4561520570029718,103.56512634312419
Kampung Bukit Tempuring,Financially Support Smart City,0,0,0,0,1,0.0,1.4596498646815466,103.57155088783993
Kampung Pulai,Financially Support Smart City,3,5,17,0,37,45.9,1.4700005200569213,103.57105120102871
Nusa Sentral,Financially Support Smart City,0,1,0,0,1,0.0,1.465913795779402,103.61999373959245
Nusa Idaman,Financially Support Smart City,4,1,3,5,13,61.5,1.4685549974958767,103.63698309117409
Nusantara,Financially Support Smart City,0,0,0,1,1,100.0,1.4607259999999993,103.57992000000003
Pangsapuri Seri Mengkuang,Financially Support Smart City,0,1,0,1,2,50.0,1.3734244243868927,103.5928570083068
Pangsapuri Mengkuang,Financially Support Smart City,0,1,2,0,3,66.7,1.3758514746128425,103.59053703382611
Pekajang,Financially Support Smart City,0,0,1,0,1,100.0,1.3563022643554572,103.56359539905075
Perumahan Iskandar Malaysia,Financially Support Smart City,0,0,0,1,1,100.0,1.4767069191508742,103.6125235659439
Rumah Iskandar,Financially Support Smart City,2,4,9,4,20,65.0,1.4780528940047604,103.61829582592011
Skudai,Financially Support Smart City,0,0,0,2,3,66.7,1.5315719999999997,103.66048700000003
Sunway,Financially Support Smart City,1,1,0,0,3,0.0,1.3890379999999996,103.63923900000003
Sunway Iskandar Puteri,Financially Support Smart City,0,0,1,1,2,100.0,1.3920988729986623,103.63520964839215
Taman Desa Skudai,Financially Support Smart City,3,10,17,3,39,51.3,1.5445389999999994,103.64477400000003
Taman Desa Paya Mengkuang,Financially Support Smart City,0,0,1,0,1,100.0,1.3782679999999992,103.59063600000003
Taman Jaya Mas,Financially Support Smart City,0,1,0,0,1,0.0,1.494323999999999,103.64437500000004
Taman Harmoni,Financially Support Smart City,2,0,1,1,5,40.0,1.5366069999999992,103.65275500000003
Taman Medini,Financially Support Smart City,0,0,1,0,1,100.0,1.4382652948728767,103.63512496948204
Taman Mutiara Rini,Financially Support Smart City,1,1,5,5,13,76.9,1.5253379999999994,103.63999100000002
Taman Mas Gelang Patah,Financially Support Smart City,1,4,6,3,14,64.3,1.4583119999999998,103.58953500000003
Taman Nusa Sentral,Financially Support Smart City,2,3,15,5,28,71.4,1.4686479101754246,103.6218457728127
Taman Nusantara Gelang Patah,Financially Support Smart City,3,13,37,16,76,69.7,1.469847999999999,103.58241300000003
Taman Pulai Indah,Financially Support Smart City,0,1,0,0,1,0.0,1.5415969999999994,103.58063000000003
Taman Nusa Perintis,Financially Support Smart City,2,3,15,6,32,65.6,1.4547929999999991,103.59158100000003
Taman Skudai,Financially Support Smart City,0,1,1,0,2,50.0,1.5152201341720626,103.64827600217464
Taman Skudai Baru,Financially Support Smart City,0,0,1,0,1,100.0,1.4989249999999998,103.63336700000004
Taman Pulai Utama,Financially Support Smart City,1,3,8,5,20,65.0,1.546635,103.61666900000003
Taman Sri Pulai,Financially Support Smart City,4,2,14,9,30,76.7,1.5662840000000007,103.62084300000002
Taman Sri Pulai Perdana,Financially Support Smart City,0,2,4,1,12,41.7,1.5608590000000002,103.61197300000003
Taman Sri Orkid,Financially Support Smart City,1,0,2,4,8,75.0,1.5111799999999993,103.63989200000003
Taman Ungku Tun Aminah,Financially Support Smart City,2,7,13,6,32,59.4,1.5222169999999993,103.65947500000003
Tanjung Adang,Financially Support Smart City,0,0,0,2,2,100.0,1.354748269159172,103.56555518083186
Taman Universiti,Financially Support Smart City,0,1,0,0,1,0.0,1.5338589999999999,103.61640700000002
Tun Aminah,Financially Support Smart City,1,4,18,8,33,78.8,1.5114129999999992,103.65721300000003
Tanjung Kupang,Financially Support Smart City,3,3,5,3,19,42.1,1.3836689999999994,103.60085000000002
Kampung Desa Paya Mengkuang,Financially Support Smart City,0,0,0,0,1,0.0,1.3728309999999984,103.58580900000003
Kangkar Pulai,Belief in Citizen Participation,0,0,0,3,3,100.0,1.557623346255399,103.5900325818511
Mutiara Rini,Belief in Citizen Participation,0,1,0,0,1,0.0,1.5078355041694056,103.62959825945602
